recorded_at,batch_id,title,set_id,card_no,name,rarity,currency,amount,psa10,game
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,59,ベジット,,¥,3000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,60,孫悟空,,¥,2000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,61,孫悟空：GT,,¥,12000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,62,ベジータ,,¥,8000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,63,孫悟飯：少年期,,¥,6000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,64,孫悟空,,¥,4000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,65,孫悟空,,¥,3500,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,66,孫悟空,,¥,15000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,67,ベジット,,¥,2000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,68,ベジット,,¥,4000,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,69,ベジット,,¥,2500,,other
2026-09-01T16:28:58+09:00,20260901-162902-vg7q,ポケモンカード買取表,#,70,孫悟空,,¥,10000,,other
